31-Jan-22 13:08:45 - TweetRetreival - INFO - File created ...
Writing to TweetsAndReplies.csv ....
31-Jan-22 13:09:54 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:13:12 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:14:21 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:15:49 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:16:48 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:17:47 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:18:40 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:22:08 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:23:06 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 13:24:46 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 13:25:48 - TweetRetreival - INFO - Data Entered 49
31-Jan-22 13:26:49 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 13:27:49 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 13:28:49 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 13:29:49 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 13:31:08 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 13:32:08 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:33:39 - TweetRetreival - INFO - Data Entered 49
31-Jan-22 13:34:37 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:35:26 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:36:17 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:37:08 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:39:34 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:41:39 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:43:33 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:44:52 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:45:53 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:46:52 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:49:17 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:50:19 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 13:51:18 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:52:29 - TweetRetreival - INFO - Data Entered 46
31-Jan-22 13:54:15 - TweetRetreival - INFO - Data Entered 46
31-Jan-22 13:55:20 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:56:24 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:57:23 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:59:05 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 13:59:54 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:00:52 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:01:39 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:02:38 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:03:37 - TweetRetreival - INFO - Data Entered 48
31-Jan-22 14:04:38 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:05:44 - TweetRetreival - INFO - Data Entered 49
31-Jan-22 14:06:44 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:07:44 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:08:43 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:09:57 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:10:57 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 14:12:09 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:13:31 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 14:14:32 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:15:32 - TweetRetreival - INFO - Data Entered 46
31-Jan-22 14:16:20 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:17:54 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 14:18:54 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:19:54 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:20:54 - TweetRetreival - INFO - Data Entered 49
31-Jan-22 14:22:39 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:23:38 - TweetRetreival - INFO - Data Entered 38
31-Jan-22 14:24:39 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:25:36 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:26:35 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:27:38 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:28:38 - TweetRetreival - INFO - Data Entered 44
31-Jan-22 14:29:37 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:31:33 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:32:50 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:34:42 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:35:41 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:36:39 - TweetRetreival - INFO - Data Entered 47
31-Jan-22 14:37:38 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:38:38 - TweetRetreival - INFO - Data Entered 44
31-Jan-22 14:39:38 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:40:24 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:41:38 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:42:22 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:43:08 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:43:57 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:44:43 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:45:28 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:46:15 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:47:01 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:47:45 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:48:31 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:49:49 - TweetRetreival - INFO - Data Entered 50
31-Jan-22 14:50:37 - TweetRetreival - INFO - Data Entered 50
